Reaction,"k (Te and Tg in K, Ea in eV)","delata(E), electron (eV)","delta(E), gas (eV)",Reference
e- + Al -> Al42S + e-,Al0_to_Al42S_Gryzinski.dat,-3.143,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
e- + Al -> Al34P + e-,Al0_to_Al34P_Gryzinski.dat,-3.598,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
e- + Al -> Al32D + e-,Al0_to_Al32D_Gryzinski.dat,-4.021,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
e- + Al -> Al42P + e-,Al0_to_Al42P_Gryzinski.dat,-4.085,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
e- + Al -> Al52S + e-,Al0_to_Al52S_Gryzinski.dat,-4.673,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
e- + Al -> Aly2D + e-,Al0_to_Aly2D_Gryzinski.dat,-4.827,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
e- + Al42S -> Al32D + e-,Al42S_to_Al32D_Gryzinski.dat,-0.878,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
e- + Al42S -> Al42P + e-,Al42S_to_Al42P_Gryzinski.dat,-0.942,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
e- + Al42S -> Al52S + e-,Al42S_to_Al52S_Gryzinski.dat,-1.53,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
e- + Al42S -> Aly2D + e-,Al42S_to_Aly2D_Gryzinski.dat,-1.684,0,"M. Gryzinski, ""Classical Theory of Atomic Collisions. I. Theory of Inelastic Collisions"", Phys. Rev., 138, 2A (1965)."
